X,Y,OBJECTID,Comunidad_,Provincia,Isla,Código_IN,Término_M,Web_munici,Identifica,Nombre,Nombre_alt,Nombre_a_1,Descripci,Longitud,Anchura,Variación,Grado_ocup,Grado_urba,Paseo_mar,Tipo_paseo,Tipo_de_ar,Condicione,Zona_fonde,Nudismo,Vegetació,Vegetaci_1,Actuacione,Actuacio_1,Bandera_az,Auxilio_y_,Auxilio_y1,Señalizac,Señaliza_,Forma_de_a,Señaliza1,Acceso_dis,Carretera_,Autobús,Autobús_t,Aparcamien,Aparcami_1,Aparcami_2,Aseos,Lavapies,Duchas,Teléfonos,Papelera,Servicio_l,Alquiler_s,Alquiler_h,Alquiler_n,Oficina_tu,Establecim,Establec_1,Zona_infan,Zona_depor,Club_naút,Submarinis,Zona_Surf,Observacio,Coordenada,Coordena_1,Huso,Coordena_2,Coordena_3,Puerto_dep,Web_puerto,Distancia_,Hospital,Dirección,Teléfono_,Distancia1,Composici,Fachada_Li,Espacio_pr,Espacio__1,Coordena_4,Coordena_5,URL_MAGRAM
-4.8867000003639,36.5065999989775,1,Andalucía,Málaga, ,29069,Marbella,http://www.marbella.es,316,La Venus, , ,"Playa situada en el casco urbano de Marbella, junto al río Represa. Presenta buenos servicios y alta ocupación. Una zona de la misma presenta fondo rocoso.",650 metros,35 metros, ,Alto,Urbana,Sí, ,Dorada,Aguas tranquilas,Sí,No,Sí, , , ,No,Sí, ,Sí, ,A pie fácil / Coche,Sí,Sí,Paseo marítimo,Sí,Urbano,Sí,No vigilado,Más de 100 plazas,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Emergencias (112).,331041,4041795,30,"04º 53' 12,344'' W","36º 30' 23,999'' N",Puerto Deportivo de Marbella, ,0 km.,Hospital Costa del Sol de Marbella,"A-7 Km. 186,7 (Marbella)",951976669,6 km.,Arena,Urbana,No, ,-4.8867,36.5066,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=316
-4.76009999977488,36.4864999992981,2,Andalucía,Málaga, ,29069,Marbella,http://www.marbella.es,318,Las Cañas, , ,"Estrecha franja de arena, entre los arroyos Las Cañas y Artola, de apenas 6 m. de ancho (incluso con zonas sin playa seca) y 1 Km. de largo.",1.100 metros,6 metros, ,Medio,Urbana,No, ,Oscura,Oleaje moderado,Sí,No,No, , , ,No,No, ,Sí, ,A pie fácil / Coche,Sí,No,CN-340,Sí, Interurbano a 1 Km.,Sí, , ,Sí, ,Sí,No,Sí,No,No,Sí,Sí,No,Sí,Sí,No,No,No,No,No,Emergencias (112).,342337,4039350,30,"4º 45' 36,437"" W","36º 29' 11,401"" N",Puerto Deportivo Cabo Pino,http://www.andalucia.org/es/turismo-y-deporte/malaga/puerto-deportivo-de-cabopino/,"1,5 km.",Hospital Costa del Sol de Marbella,"A-7 Km. 186,7 (Marbella)",951976669,7 km.,Arena / Grava,Urbana,No, ,-4.7601,36.4865,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=318
-4.71119999977301,36.4876999992795,3,Andalucía,Málaga, ,29070,Mijas,http://www.mijas.es,330,Calahonda,"Royal Beach, Alhamar, Alcasur, Riviera, Rocas del Mar", ,"Franja costera situada en el parte oeste del término municipal. Se trata de un estrecho y sinuoso borde litoral de arena y rocas, en una zona muy urbanizada al sur de la CN-340, que incluye calas diferenciadas.",3.500 metros,De 5 a 30 metros, ,Medio / Alto,Urbana,Sí,Senda Litoral de Mijas,Grano medio / Color claro,Aguas tranquilas,No,No,Sí, , , ,Sí,Sí,De 11 a 20 hrs en S.Santa y temporada estival,Sí, ,A pie fácil / Coche,Sí,Sí,A-7,Sí,Interurbano,Sí, , ,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,No,"Certificación Medioambiental ISO 14001. Certificación ""Q"" de Calidad Turística. Playa con atención a personas con movilidad reducida (sombra, sillas anfibias, etc.). Bandera Ecoplaya. Playa de gran extensión que inlcuye varias zonas: Luna-Royal Beac",346722,4039405,30,"04º 42' 40,410'' W","36º 29' 16,003'' N",Puerto Cabopino,http://www.andalucia.org/es/turismo-y-deporte/malaga/puerto-deportivo-de-cabopino/,2 km.,Hospital Costa del Sol de Marbella,"A-7 Km. 186,7 (Marbella)",951976669,10 km.,Arena / Roca / Grava,Urbana,Sí,Zona de Especial Conservación Calahonda (ES6170030),-4.7112,36.4877,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=330
-4.64559999973741,36.5071999993745,4,Andalucía,Málaga, ,29070,Mijas,http://www.mijas.es,402904,El Charcón, , ,Playa con zonas de fondo rocoso situada en una zona poco urbanizada al este del término municipal.,800 metros,15 metros, ,Bajo,Semiurbana,No, ,Grisáceo,Aguas tranquilas,No,Parcial,No, , , ,No,Sí, ,Sí, ,A pie fácil / Coche,Sí,No,A-7,Sí,Interurbano,Sí, , ,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,Certificación Medioambiental ISO 14001. Certificación Q de Calidad Turística. Práctica de nudismo en la parte oeste de la playa. Emergencias (112),352638.85,4041471,30,"4º 38' 44,03"" W","36º 30' 26,09"" N",Puerto de Fuengirola,http://www.puertodeportivofuengirola.es/,"4,5 km.",Hospital Costa del Sol de Marbella,"A-7 Km. 186,7 (Marbella)",951976669,18 km.,Arena / Roca,Semiurbana,Sí,Zona de Especial Conservación Calahonda (ES6170030),-4.6456,36.5072,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=402904
-0.0446999996545,38.6023999993071,5,Comunitat Valenciana,Alicante/Alacant, ,3018,Altea,http://www.altea.es,450301,L'Espigó, , ,"Céntrica playa de reciente inauguración, de aguas tranquilas por los espigones que la protegen.",600 metros,25 metros,Poca,Alto,Urbana,Sí,Completo, ,Aguas tranquilas,No,No,No, ,Sí,Dispone de pasarelas y rampas,Sí,Sí,Temporada estival,Sí,Banderas,A pie fácil / Coche,Sí,Sí,N-332,Sí,Urbano,Sí,No vigilado,Más de 100 plazas,Sí,Sí,No,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,No,No,No,No,Emergencias (112),757358,4276803,30,"00º 02' 40,84'' W","38º 36' 8,77'' N",Puerto de Altea y Club Náutico,http://www.cyberaltura.com/web_cnaltea/index/index.php,"0,2 km.",Hospital de Levante,"Doctor Ramón y Cajal, 7 (Benidorm)",966878787,11 km.,Bolos / Grava,Urbana,No, ,-0.0447,38.6024,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=450301
-8.76059999960876,42.2617999991806,6,Galicia,Pontevedra, ,36008,Cangas,http://www.cangas.org,403606,Canabal, , ,Situada en el mismo límite de los términos de Cangas y Moaña.,350 metros,De 5 a 10 metros,Media,Medio,Semiurbana,No, ,Blanca,Aguas tranquilas,Sí,No,Sí,en la playa,Sí,Dispone de rampas,No,No, ,No, ,A pie fácil / Coche,No,Sí,PO-551,Sí,Interurbano (Pontevedra - Cangas a 1 Km),No, , ,No,No,Sí,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,Se ha mejorado el acceso. Emergencias (112).,519749,4678874,29,08º 45' 38'' W,"42º 15' 42,54'' N",Real Club Náutico Rodeira (Cangas),http://www.nauticorodeira.com,2 km.,Hospital Xeral-Cíes,"Pizarro, 22 (Vigo)",986816000,21 km.,Arena,Semiurbana,No, ,-8.7606,42.2618,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=403606
-7.24780000025613,37.203399998857,7,Andalucía,Huelva, ,21042,Isla Cristina,http://www.islacristina.es,202106,Urbasur, , ,Playa bordeada por un bosque de pinos próxima a la urbanización URBASUR,1.100 metros,70 metros,Mucha,Medio,Semiurbana,No, ,Blanca,Oleaje moderado,Sí,No,Sí,Detrás de la playa,Sí,Restauración dunar / Dispone de entarimados,No,Sí,Medios humanos,Sí,Banderas,A pie fácil,Sí,Sí,HV-7006 La Antilla-Isla Cristina,Sí,Urbano,Sí,Vigilado,Más de 100 plazas,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,Sí,Emergencias (112).,655494,4118874,29,"07º 14' 52,366'' W","37º 12' 12,552'' N",Puerto de Isla Cristina,http://www.puertosdeandalucia.es/es/puertos/puertos-de-huelva/itemlist/category/76-puerto-de-isla-cristina,6 km.,Hospital Infanta Elena,"Ctra. Huelva-Sevilla, s/n (Huelva)",959015100,50 km.,Arena,Dunas,Sí,"Monte Público ""Dunas de Isla Cristina""",-7.2478,37.2034,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=202106
-8.81690000022265,42.5094999990133,8,Galicia,Pontevedra, ,36006,Cambados,http://www.cambados.es,103628,Santo Tomé, , ,Pequeña playa ubicada en el núcleo urbano de Cambados,115 metros,27 metros,Poca,Medio,Urbana,Sí, ,Oscura,Aguas tranquilas,No,No,No, ,No, ,No,No, ,No, ,A pie fácil / Coche,No,No,CC-550,Sí,Interurbano (Vilagarcia - Cambados),Sí,No vigilado,Entre 50 y 100 plazas,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,No,No,No,Emergencias (112).,515042,4706364,29,"08º 49' 01,086'' W","42º 30' 34,263'' N",Marina Vilagarcía (V. de Arousa),http://www.marinavilagarcia.com,12 km.,Hospital do Salnés,Estromil-Ande-Rubianes (Vilagarcía de Arousa),986568002,12 km.,Arena,Urbana,No, ,-8.8169,42.5095,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=103628
-2.27830000023074,36.811599999185,9,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,19,Las Amoladeras, , ,"Esta playa se localiza dentro de los límites del Parque Natural del Cabo de Gata-Níjar, por lo que se encuentra protegida. Recientemente ha sido declarado Reserva de la Biosfera. En el extremo próximo a Torre García se encuentran los restos romanos d",3.750 metros,100 metros,Poca,Bajo,Aislada,No, ,Oscura,Oleaje moderado / Ventosa,No,No,No, ,No, ,No,No, ,No, ,Coche,Sí,No,AL- 3115,Sí,Interurbano,No, , ,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,Emergencias (112). Protección Civil (950-280-619). Policía Local (092),564373,4074216,30,"02º 16' 42,050'' W","36º 48' 41,983'' N",Club de Mar de Almería,http://clubdemaralmeria.es,17 km.,Hospital de Alta Resolución El Toyo,"Camino de la Botica s/n, 04131 Almería",950158015,9 km.,Arena / Grava,Dunas,Sí,Parque Natural / Reserva de la Biosfera,-2.2783,36.8116,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=19
-2.48780000004037,36.8314999992171,10,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,20,Las Olas, , ,Playa carente de interés por el estado de su entorno natural algo deficiente.,250 metros,25 metros,Poca,Bajo,Semiurbana,No, ,Oscura,Aguas tranquilas,No,No,Sí,Detrás de la playa,Sí,"Regeneración de playa, recuperación medioambiental",No,No, ,No, ,Coche,Sí,No,"N-340a, Autovía del Mediterráneo (E-15)",No, ,Sí,No vigilado,Menos de 50 plazas,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,"Playa regenerada. Emergencias (112), Protección Civil (950-280-619), Policía Local (092)",545674,4076303,30,"02º 29' 16,123'' W","36º 49' 53,404'' N",Club de Mar de Almería,http://clubdemaralmeria.es,2 km.,Hospital de Torrecárdenas,"Paraje de Torrecárdenas, s/n (Almería)",950016000,6 km.,Arena / Grava,Montaña / Acantilado,No, ,-2.4878,36.8315,https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=20
